DATE,MAJOR,NUM_STUDENTS,CHANGE_IN_CREDITS_ATTEMPTED
2013-05-15,ACIS,2,-10.0
2013-12-15,ACIS,4,26.0
2014-05-15,ACIS,8,68.5
2014-12-15,ACIS,13,75.5
2015-05-15,ACIS,17,64.0
2015-12-15,ACIS,20,50.0
2016-05-15,ACIS,22,27.5
2016-12-15,ACIS,16,-90.0
2017-05-15,ACIS,15,-16.0
1997-12-15,ACTA,15,207.0
1998-12-15,ACTA,14,-36.0
1999-05-15,ACTA,11,-48.0
1999-12-15,ACTA,7,-72.0
2000-05-15,ACTA,4,-21.0
2000-12-15,ACTA,7,36.0
2001-05-15,ACTA,6,-3.0
2001-12-15,ACTA,5,-24.0
2002-05-15,ACTA,6,3.0
2002-12-15,ACTA,17,150.0
2003-05-15,ACTA,14,-38.0
2003-12-15,ACTA,12,-19.0
2004-05-15,ACTA,9,-51.0
2004-12-15,ACTA,13,27.0
2005-05-15,ACTA,12,3.0
2005-12-15,ACTA,13,9.0
2006-05-15,ACTA,16,30.0
2006-12-15,ACTA,16,33.0
2007-05-15,ACTA,16,0.0
2007-12-15,ACTA,16,-4.5
2008-05-15,ACTA,10,-55.5
2008-12-15,ACTA,11,-15.0
2009-05-15,ACTA,11,0.0
2009-12-15,ACTA,7,-42.0
2010-05-15,ACTA,20,156.0
2010-12-15,ACTA,24,42.0
2011-05-15,ACTA,19,-39.0
2011-12-15,ACTA,15,-45.0
2012-05-15,ACTA,16,-15.0
2012-12-15,ACTA,24,79.0
2013-05-15,ACTA,21,12.0
2013-12-15,ACTA,24,-33.0
2014-05-15,ACTA,23,6.5
2014-12-15,ACTA,18,-77.5
2015-05-15,ACTA,11,-68.0
2015-12-15,ACTA,9,-9.0
2016-05-15,ACTA,8,2.0
2016-12-15,ACTA,5,-37.0
2017-05-15,ACTA,5,3.0
2004-05-15,ACTT,1,9.0
2006-12-15,ACTT,1,-6.0
2014-12-15,ACTX,3,45.0
2015-05-15,ACTX,2,-10.5
2015-12-15,ACTX,2,3.0
1997-12-15,ADED,40,234.0
1998-05-15,ADED,42,24.0
1998-12-15,ADED,47,33.0
1999-05-15,ADED,60,78.0
1999-12-15,ADED,66,-24.0
2000-05-15,ADED,60,-27.0
2000-12-15,ADED,50,48.0
2001-05-15,ADED,59,-39.0
2001-12-15,ADED,53,6.0
2002-05-15,ADED,49,-36.0
2002-12-15,ADED,46,-24.0
2003-05-15,ADED,44,-30.0
2003-12-15,ADED,71,81.0
2004-05-15,ADED,58,-81.0
2004-12-15,ADED,114,748.0
2005-05-15,ADED,154,260.0
2005-12-15,ADED,89,-867.0
2006-05-15,ADED,217,1563.0
2006-12-15,ADED,60,-1707.6
2007-05-15,ADED,32,-76.20000000000002
2007-12-15,ADED,18,-103.19999999999999
2008-05-15,ADED,20,30.0
2008-12-15,ADED,28,51.0
2009-05-15,ADED,32,0.0
2009-12-15,ADED,34,69.0
2010-05-15,ADED,32,-36.0
2010-12-15,ADED,17,-81.0
2011-05-15,ADED,11,-33.0
2011-12-15,ADED,3,-54.0
2012-05-15,ADED,2,-3.0
2010-12-15,ADFF,5,21.0
2011-05-15,ADFF,6,12.0
2011-12-15,ADFF,4,-18.0
2012-05-15,ADFF,4,3.0
2012-12-15,ADFF,2,-9.0
2013-05-15,ADFF,1,-6.0
2013-12-15,ADFF,5,27.0
2014-05-15,ADFF,4,-6.0
2014-12-15,ADFF,1,-21.0
2015-05-15,ADFF,2,9.0
2015-12-15,ADFF,4,0.0
2016-05-15,ADFF,2,-3.0
2016-12-15,ADFF,3,6.0
2017-05-15,ADFF,2,-6.0
2016-12-15,ADSC,2,9.0
2017-05-15,ADSC,2,3.0
2016-12-15,ADSP,3,18.0
2017-05-15,ADSP,3,3.0
1997-12-15,ADSU,257,838.5
1998-05-15,ADSU,253,198.0
1998-12-15,ADSU,222,-217.5
1999-05-15,ADSU,209,60.0
1999-12-15,ADSU,206,-91.5
2000-05-15,ADSU,196,132.0
2000-12-15,ADSU,211,63.0
2001-05-15,ADSU,245,592.5
2001-12-15,ADSU,192,-648.0
2002-05-15,ADSU,191,141.0
2002-12-15,ADSU,160,-340.5
2003-05-15,ADSU,160,231.0
2003-12-15,ADSU,155,-244.5
2004-05-15,ADSU,167,81.0
2004-12-15,ADSU,191,69.0
2005-05-15,ADSU,175,-103.5
2005-12-15,ADSU,191,139.5
2006-05-15,ADSU,186,-61.5
2006-12-15,ADSU,179,24.0
2007-05-15,ADSU,170,0.0
2007-12-15,ADSU,217,236.5
2008-05-15,ADSU,209,-32.5
2008-12-15,ADSU,214,67.0
2009-05-15,ADSU,226,18.0
2009-12-15,ADSU,195,-152.5
2010-05-15,ADSU,231,306.0
2010-12-15,ADSU,235,-102.0
2011-05-15,ADSU,230,-57.0
2011-12-15,ADSU,271,204.0
2012-05-15,ADSU,243,-207.0
2012-12-15,ADSU,239,9.0
2013-05-15,ADSU,239,-18.0
2013-12-15,ADSU,253,240.0
2014-05-15,ADSU,261,-15.0
2014-12-15,ADSU,242,-75.0
2015-05-15,ADSU,240,-78.0
2015-12-15,ADSU,222,-138.0
2016-05-15,ADSU,180,-213.0
2016-12-15,ADSU,127,-291.0
2017-05-15,ADSU,137,18.0
1997-12-15,ADTT,6,36.0
1998-05-15,ADTT,7,18.0
1998-12-15,ADTT,6,-18.0
1999-05-15,ADTT,5,9.0
1999-12-15,ADTT,14,24.0
2000-05-15,ADTT,11,3.0
2000-12-15,ADTT,11,-24.0
2001-05-15,ADTT,10,24.0
2001-12-15,ADTT,18,12.0
2002-05-15,ADTT,18,6.0
2002-12-15,ADTT,26,42.0
2003-05-15,ADTT,26,63.0
2003-12-15,ADTT,46,9.0
2004-05-15,ADTT,46,76.5
2004-12-15,ADTT,48,-64.5
2005-05-15,ADTT,43,63.0
2005-12-15,ADTT,48,-66.0
2006-05-15,ADTT,45,75.0
2006-12-15,ADTT,34,-165.0
2007-05-15,ADTT,35,-21.0
2007-12-15,ADTT,24,-12.0
2008-05-15,ADTT,23,-42.0
2008-12-15,ADTT,15,-9.0
2009-05-15,ADTT,13,-9.0
2009-12-15,ADTT,9,-3.0
2010-05-15,ADTT,28,141.0
2010-12-15,ADTT,2,-159.0
2011-05-15,ADTT,4,-3.0
2011-12-15,ADTT,1,-3.0
2012-05-15,ADTT,2,3.0
2012-12-15,ADTT,1,-3.0
2013-05-15,ADTT,1,0.0
2013-12-15,ADTT,1,0.0
2014-05-15,ADTT,1,-3.0
2014-12-15,ADTT,1,0.0
2015-05-15,ADTT,1,0.0
2015-12-15,ADTT,1,0.0
2016-05-15,ADTT,1,0.0
2016-12-15,ADTT,7,42.0
2017-05-15,ADTT,6,-6.0
2009-05-15,AEBA,1,12.0
2009-12-15,AEBA,35,405.0
2010-05-15,AEBA,54,228.0
2010-12-15,AEBA,86,423.0
2011-05-15,AEBA,82,231.0
2011-12-15,AEBA,67,-540.0
2012-05-15,AEBA,67,249.0
2012-12-15,AEBA,68,-250.5
2013-05-15,AEBA,67,201.0
2013-12-15,AEBA,70,-162.0
2014-05-15,AEBA,69,139.5
2014-12-15,AEBA,70,-129.0
2015-05-15,AEBA,72,154.5
2015-12-15,AEBA,73,-136.5
2016-05-15,AEBA,73,157.5
2016-12-15,AEBA,73,-135.0
2017-05-15,AEBA,73,144.0
2009-05-15,AEBW,19,228.0
2009-12-15,AEBW,18,-70.5
2010-05-15,AEBW,39,277.5
2010-12-15,AEBW,23,-210.0
2011-05-15,AEBW,41,249.0
2011-12-15,AEBW,26,-231.0
2012-05-15,AEBW,45,247.5
2012-12-15,AEBW,23,-268.5
2013-05-15,AEBW,46,297.0
2013-12-15,AEBW,25,-283.5
2014-05-15,AEBW,43,253.5
2014-12-15,AEBW,27,-271.0
2015-05-15,AEBW,43,248.0
2015-12-15,AEBW,24,-252.0
2016-05-15,AEBW,40,233.0
2016-12-15,AEBW,18,-270.0
2017-05-15,AEBW,35,280.5
2003-05-15,AEED,2,28.0
2003-12-15,AEED,2,-1.0
2004-05-15,AEED,2,0.0
2004-12-15,AEED,3,15.0
2005-05-15,AEED,3,6.0
2005-12-15,AEED,1,-27.0
2006-05-15,AEED,1,-6.0
2007-05-15,AEED,1,0.0
2002-12-15,AENG,3,18.0
2003-05-15,AENG,4,9.0
2003-12-15,AENG,17,141.0
2004-05-15,AENG,21,27.0
2004-12-15,AENG,24,39.0
2005-05-15,AENG,25,-12.0
2005-12-15,AENG,16,-120.0
2006-05-15,AENG,18,12.0
2006-12-15,AENG,18,24.0
2007-05-15,AENG,16,-24.0
2007-12-15,AENG,24,24.0
2008-05-15,AENG,27,-21.0
2008-12-15,AENG,20,9.0
2009-05-15,AENG,16,-33.0
2009-12-15,AENG,20,78.0
2010-05-15,AENG,20,-21.0
2010-12-15,AENG,24,60.0
2011-05-15,AENG,24,12.0
2011-12-15,AENG,10,-150.0
2012-05-15,AENG,6,-39.0
2012-12-15,AENG,8,42.0
2013-05-15,AENG,8,-12.0
2013-12-15,AENG,9,0.0
2014-05-15,AENG,9,3.0
2014-12-15,AENG,6,-18.0
2015-05-15,AENG,6,-12.0
2015-12-15,AENG,9,17.0
2016-05-15,AENG,8,0.0
2016-12-15,AENG,3,-31.0
2017-05-15,AENG,2,-11.0
2015-12-15,AESB,2,6.0
2016-05-15,AESB,2,6.0
2016-12-15,AESB,2,0.0
2017-05-15,AESB,2,0.0
2003-12-15,AETT,2,15.0
2004-05-15,AETT,4,12.0
2004-12-15,AETT,7,18.0
2005-05-15,AETT,8,15.0
2005-12-15,AETT,6,-36.0
2006-05-15,AETT,7,0.0
2006-12-15,AETT,7,-3.0
2007-05-15,AETT,3,3.0
2007-12-15,AETT,2,-3.0
2008-05-15,AETT,2,-6.0
2008-12-15,AETT,2,-6.0
2009-05-15,AETT,2,-6.0
2009-12-15,AETT,4,24.0
2010-05-15,AETT,3,-12.0
2010-12-15,AETT,2,-9.0
2011-05-15,AETT,1,0.0
2011-12-15,AETT,3,18.0
2012-05-15,AETT,2,-6.0
2012-12-15,AETT,1,-12.0
2013-05-15,AETT,1,0.0
1997-12-15,AFAM,4,55.0
1998-05-15,AFAM,5,16.0
1998-12-15,AFAM,3,-24.0
1999-05-15,AFAM,9,79.0
1999-12-15,AFAM,8,-26.0
2000-05-15,AFAM,8,1.0
2000-12-15,AFAM,8,-17.0
2001-05-15,AFAM,7,-16.0
2001-12-15,AFAM,5,-31.0
2002-05-15,AFAM,6,30.0
2002-12-15,AFAM,6,9.0
2003-05-15,AFAM,6,-5.0
2003-12-15,AFAM,3,-39.0
2004-05-15,AFAM,3,2.0
2004-12-15,AFAM,3,11.0
2005-05-15,AFAM,6,6.0
2005-12-15,AFAM,4,15.0
2006-05-15,AFAM,6,6.0
2006-12-15,AFAM,8,37.0
2007-05-15,AFAM,9,11.0
2007-12-15,AFAM,10,-12.0
2008-05-15,AFAM,13,45.0
2008-12-15,AFAM,9,-33.0
2009-05-15,AFAM,5,-46.0
2009-12-15,AFAM,3,-30.0
2010-05-15,AFAM,3,-14.0
2010-12-15,AFAM,3,20.0
2011-05-15,AFAM,3,-2.0
2011-12-15,AFAM,3,0.0
2012-05-15,AFAM,2,-15.0
2012-12-15,AFAM,6,49.0
2013-05-15,AFAM,8,38.0
2013-12-15,AFAM,7,-31.0
2014-05-15,AFAM,6,-9.0
2014-12-15,AFAM,7,-11.0
2015-05-15,AFAM,7,18.0
2015-12-15,AFAM,4,-48.0
2016-05-15,AFAM,5,24.0
2016-12-15,AFAM,7,28.0
2017-05-15,AFAM,7,14.0
2003-05-15,AFED,1,15.0
2003-12-15,AFED,1,-3.0
2004-05-15,AFED,1,3.0
2009-12-15,AFFO,2,9.0
2010-05-15,AFFO,2,0.0
2010-12-15,AFFO,5,12.0
2011-05-15,AFFO,3,6.0
2011-12-15,AFFO,3,-15.0
2012-05-15,AFFO,3,3.0
2012-12-15,AFFO,3,-6.0
2013-05-15,AFFO,3,3.0
2013-12-15,AFFO,4,9.0
2014-05-15,AFFO,2,-12.0
2014-12-15,AFFO,3,3.0
2015-05-15,AFFO,2,0.0
2015-12-15,AFFO,2,0.0
2016-12-15,AFFO,1,-6.0
2017-05-15,AFFO,2,9.0
2002-12-15,ALIE,4,21.0
2003-05-15,ALIE,4,-3.0
2003-12-15,ALIE,6,21.0
2004-05-15,ALIE,6,-6.0
2004-12-15,ALIE,5,-15.0
2005-05-15,ALIE,3,-6.0
2005-12-15,ALIE,3,-3.0
2006-05-15,ALIE,2,0.0
2006-12-15,ALIE,2,3.0
2007-05-15,ALIE,2,0.0
2007-12-15,ALIE,2,-3.0
2008-05-15,ALIE,2,-6.0
2008-12-15,ALIE,3,12.0
2009-05-15,ALIE,3,0.0
2009-12-15,ALIE,2,-6.0
2010-05-15,ALIE,4,6.0
2010-12-15,ALIE,3,0.0
2011-05-15,ALIE,7,18.0
2011-12-15,ALIE,9,30.0
2012-05-15,ALIE,9,-6.0
2012-12-15,ALIE,6,-21.0
2013-05-15,ALIE,6,-3.0
2013-12-15,ALIE,5,-9.0
2014-05-15,ALIE,5,-6.0
2014-12-15,ALIE,4,0.0
2015-05-15,ALIE,5,9.0
2015-12-15,ALIE,4,-9.0
2016-05-15,ALIE,4,-3.0
2016-12-15,ALIE,1,-9.0
2003-05-15,ALIT,1,6.0
2003-12-15,ALIT,2,6.0
2004-05-15,ALIT,1,-9.0
2004-12-15,ALIT,2,12.0
2005-05-15,ALIT,2,0.0
2005-12-15,ALIT,4,9.0
2006-05-15,ALIT,4,3.0
2006-12-15,ALIT,5,9.0
2007-05-15,ALIT,6,-3.0
2007-12-15,ALIT,4,-12.0
2008-05-15,ALIT,4,-3.0
2008-12-15,ALIT,2,-6.0
2009-05-15,ALIT,2,0.0
2009-12-15,ALIT,1,-6.0
2010-05-15,ALIT,3,18.0
2010-12-15,ALIT,1,-18.0
2011-05-15,ALIT,2,0.0
2011-12-15,ALIT,2,3.0
2012-05-15,ALIT,2,-3.0
2012-12-15,ALIT,1,-3.0
2013-05-15,ALIT,2,9.0
2004-12-15,AMAT,4,42.0
2005-05-15,AMAT,4,0.0
2005-12-15,AMAT,4,-21.0
2006-05-15,AMAT,4,-9.0
2006-12-15,AMAT,3,0.0
2007-05-15,AMAT,6,30.0
2007-12-15,AMAT,15,87.0
2008-05-15,AMAT,17,0.0
2008-12-15,AMAT,13,-42.0
2009-05-15,AMAT,13,-15.0
2009-12-15,AMAT,14,12.0
2010-05-15,AMAT,13,-9.0
2010-12-15,AMAT,6,-12.0
2011-05-15,AMAT,8,-3.0
2011-12-15,AMAT,8,-21.0
2012-05-15,AMAT,9,0.0
2012-12-15,AMAT,5,-15.0
2013-05-15,AMAT,5,12.0
2013-12-15,AMAT,12,63.0
2014-05-15,AMAT,10,8.0
2014-12-15,AMAT,9,-32.0
2015-05-15,AMAT,9,5.0
2015-12-15,AMAT,8,-12.0
2016-05-15,AMAT,8,6.0
2016-12-15,AMAT,5,-33.0
2017-05-15,AMAT,6,7.0
2008-05-15,AMED,1,8.0
2008-12-15,AMED,1,7.0
1997-12-15,AMST,32,519.0
1998-05-15,AMST,38,71.0
1998-12-15,AMST,28,-151.0
1999-05-15,AMST,43,224.0
1999-12-15,AMST,36,-105.0
2000-05-15,AMST,40,-23.0
2000-12-15,AMST,36,5.0
2001-05-15,AMST,39,53.0
2001-12-15,AMST,28,-193.0
2002-05-15,AMST,42,195.0
2002-12-15,AMST,33,-97.0
2003-05-15,AMST,37,9.0
2003-12-15,AMST,25,-116.0
2004-05-15,AMST,34,84.0
2004-12-15,AMST,30,10.0
2005-05-15,AMST,37,42.0
2005-12-15,AMST,37,63.0
2006-05-15,AMST,46,85.0
2006-12-15,AMST,35,-138.0
2007-05-15,AMST,42,50.0
2007-12-15,AMST,36,-3.0
2008-05-15,AMST,41,10.0
2008-12-15,AMST,35,-61.0
2009-05-15,AMST,39,-51.0
2009-12-15,AMST,40,154.0
2010-05-15,AMST,45,28.0
2010-12-15,AMST,42,37.0
2011-05-15,AMST,46,1.0
2011-12-15,AMST,37,-96.0
2012-05-15,AMST,40,-42.0
2012-12-15,AMST,33,-37.0
2013-05-15,AMST,38,17.0
2013-12-15,AMST,27,-111.0
2014-05-15,AMST,30,56.0
2014-12-15,AMST,21,-153.0
2015-05-15,AMST,24,2.0
2015-12-15,AMST,16,-81.0
2016-05-15,AMST,19,40.0
2016-12-15,AMST,13,-77.0
2017-05-15,AMST,15,-9.0
2008-12-15,AMTH,2,12.0
2009-05-15,AMTH,2,0.0
2009-12-15,AMTH,16,42.0
2010-05-15,AMTH,16,39.0
2010-12-15,AMTH,15,-9.0
2011-05-15,AMTH,15,9.0
2011-12-15,AMTH,8,-75.0
2012-05-15,AMTH,6,-6.0
2012-12-15,AMTH,2,-6.0
2013-05-15,AMTH,2,0.0
2004-12-15,AMTT,6,33.0
2005-05-15,AMTT,6,3.0
2005-12-15,AMTT,6,6.0
2006-05-15,AMTT,6,-3.0
2006-12-15,AMTT,3,-12.0
2007-05-15,AMTT,3,-6.0
2007-12-15,AMTT,1,-6.0
2008-05-15,AMTT,1,-6.0
2010-05-15,AMTT,2,0.0
2010-12-15,AMTT,1,-3.0
2011-05-15,AMTT,2,3.0
2011-12-15,AMTT,3,12.0
2012-05-15,AMTT,1,-15.0
1997-12-15,ANTH,25,335.0
1998-05-15,ANTH,32,97.0
1998-12-15,ANTH,23,-108.0
1999-05-15,ANTH,28,47.0
1999-12-15,ANTH,23,-79.0
2000-05-15,ANTH,23,20.0
2000-12-15,ANTH,23,-25.0
2001-05-15,ANTH,25,32.0
2001-12-15,ANTH,18,-61.0
2002-05-15,ANTH,25,47.0
2002-12-15,ANTH,16,-67.0
2003-05-15,ANTH,20,29.0
2003-12-15,ANTH,19,-26.0
2004-05-15,ANTH,24,125.0
2004-12-15,ANTH,19,-114.0
2005-05-15,ANTH,28,156.0
2005-12-15,ANTH,30,11.0
2006-05-15,ANTH,50,274.0
2006-12-15,ANTH,45,-85.0
2007-05-15,ANTH,45,-34.0
2007-12-15,ANTH,34,-63.0
2008-05-15,ANTH,47,156.0
2008-12-15,ANTH,41,-50.0
2009-05-15,ANTH,42,-98.0
2009-12-15,ANTH,42,144.0
2010-05-15,ANTH,58,165.0
2010-12-15,ANTH,62,135.0
2011-05-15,ANTH,76,143.0
2011-12-15,ANTH,67,-68.0
2012-05-15,ANTH,81,152.0
2012-12-15,ANTH,64,-243.0
2013-05-15,ANTH,71,101.0
2013-12-15,ANTH,63,-96.0
2014-05-15,ANTH,74,129.0
2014-12-15,ANTH,54,-267.0
2015-05-15,ANTH,67,161.0
2015-12-15,ANTH,57,-87.0
2016-05-15,ANTH,61,20.0
2016-12-15,ANTH,47,-138.0
2017-05-15,ANTH,59,169.0
2002-12-15,AOED,1,15.0
2003-05-15,AOED,1,0.0
2003-12-15,AOED,2,15.0
2004-05-15,AOED,2,-3.0
2004-12-15,AOED,3,18.0
2005-05-15,AOED,3,-1.0
2005-12-15,AOED,3,4.0
2006-05-15,AOED,2,-17.0
2006-12-15,AOED,1,-16.0
2007-05-15,AOED,1,0.0
2007-12-15,AOED,1,-15.0
2008-05-15,AOED,1,0.0
2002-12-15,APHY,1,6.0
2003-05-15,APHY,1,-3.0
2003-12-15,APHY,3,21.0
2004-05-15,APHY,3,3.0
2004-12-15,APHY,1,-24.0
2005-05-15,APHY,1,0.0
2005-12-15,APHY,1,-3.0
2006-05-15,APHY,1,0.0
2008-12-15,APHY,1,6.0
2009-05-15,APHY,1,0.0
2010-12-15,APHY,1,6.0
2011-05-15,APHY,1,0.0
2011-12-15,APHY,2,1.0
2012-05-15,APHY,2,9.0
2012-12-15,APHY,3,9.0
2013-05-15,APHY,3,-7.0
2015-05-15,APHY,1,-12.0
2015-12-15,APHY,1,0.0
2016-05-15,APHY,1,-3.0
2011-12-15,APSM,3,27.0
2012-05-15,APSM,2,-9.0
2012-12-15,APSM,4,21.0
2013-05-15,APSM,4,-18.0
2013-12-15,APSM,4,9.0
2014-05-15,APSM,7,30.0
2014-12-15,APSM,8,15.0
2015-05-15,APSM,8,-12.0
2015-12-15,APSM,9,16.0
2016-05-15,APSM,10,-1.0
2016-12-15,APSM,7,-5.0
2017-05-15,APSM,5,-43.0
2005-05-15,APTT,1,6.0
2005-12-15,APTT,2,9.0
2006-05-15,APTT,3,0.0
2006-12-15,APTT,2,-6.0
2007-05-15,APTT,1,-6.0
2010-12-15,APTT,1,9.0
2011-05-15,APTT,1,-6.0
2002-12-15,ARED,2,31.0
2003-05-15,ARED,3,14.0
2003-12-15,ARED,1,-33.0
2004-05-15,ARED,1,0.0
2004-12-15,ARED,2,13.0
2005-05-15,ARED,2,12.0
1997-12-15,ARHI,53,697.0
1998-05-15,ARHI,59,64.0
1998-12-15,ARHI,40,-201.0
1999-05-15,ARHI,49,85.0
1999-12-15,ARHI,43,0.0
2000-05-15,ARHI,46,-19.0
2000-12-15,ARHI,48,50.0
2001-05-15,ARHI,55,75.0
2001-12-15,ARHI,41,-183.0
2002-05-15,ARHI,56,129.0
2002-12-15,ARHI,49,-13.0
2003-05-15,ARHI,68,204.0
2003-12-15,ARHI,58,-26.0
2004-05-15,ARHI,60,-14.0
2004-12-15,ARHI,53,-97.0
2005-05-15,ARHI,75,297.0
2005-12-15,ARHI,65,-209.0
2006-05-15,ARHI,79,266.0
2006-12-15,ARHI,70,-99.0
2007-05-15,ARHI,84,99.0
2007-12-15,ARHI,65,-297.0
2008-05-15,ARHI,68,68.0
2008-12-15,ARHI,52,-126.0
2009-05-15,ARHI,53,-37.0
2009-12-15,ARHI,44,-104.0
2010-05-15,ARHI,58,207.0
2010-12-15,ARHI,53,-36.0
2011-05-15,ARHI,59,-6.0
2011-12-15,ARHI,54,-20.0
2012-05-15,ARHI,66,130.0
2012-12-15,ARHI,47,-200.0
2013-05-15,ARHI,47,-82.0
2013-12-15,ARHI,42,-1.0
2014-05-15,ARHI,51,59.0
2014-12-15,ARHI,36,-114.0
2015-05-15,ARHI,40,42.0
2015-12-15,ARHI,34,-79.0
2016-05-15,ARHI,42,81.0
2016-12-15,ARHI,35,-57.0
2017-05-15,ARHI,44,105.0
2013-12-15,ASDM,8,117.0
2014-05-15,ASDM,10,6.0
2014-12-15,ASDM,36,269.0
2015-05-15,ASDM,31,-27.0
2015-12-15,ASDM,67,314.0
2016-05-15,ASDM,52,-91.0
2016-12-15,ASDM,81,117.5
2017-05-15,ASDM,44,-300.5
2002-12-15,ASED,1,12.0
2003-05-15,ASED,1,3.0
2003-12-15,ASED,1,-2.0
2004-05-15,ASED,2,20.0
2004-12-15,ASED,1,-19.0
2005-05-15,ASED,2,18.0
2005-12-15,ASED,2,-1.0
2006-05-15,ASED,1,-17.0
2006-12-15,ASED,1,1.0
2007-05-15,ASED,1,3.0
2007-12-15,ASED,1,-5.0
